Algorithm_name,env_n,estates_n,solution_found
BFS,1,55,True
DFS,1,273,True
UCS,1,55,True
BFS,2,57,True
DFS,2,1787,True
UCS,2,57,True
BFS,3,83,True
DFS,3,2265,True
UCS,3,83,True
BFS,4,93,True
DFS,4,997,True
UCS,4,93,True
BFS,5,57,True
DFS,5,599,True
UCS,5,57,True
BFS,6,144,True
DFS,6,2632,True
UCS,6,144,True
BFS,7,20,True
DFS,7,742,True
UCS,7,20,True
BFS,8,119,True
DFS,8,2521,True
UCS,8,119,True
BFS,9,61,True
DFS,9,715,True
UCS,9,61,True
BFS,10,56,True
DFS,10,394,True
UCS,10,56,True
BFS,11,20,True
DFS,11,474,True
UCS,11,20,True
BFS,12,149,True
DFS,12,2423,True
UCS,12,149,True
BFS,13,32,True
DFS,13,418,True
UCS,13,32,True
BFS,14,54,True
DFS,14,690,True
UCS,14,54,True
BFS,15,49,True
DFS,15,217,True
UCS,15,49,True
BFS,16,117,True
DFS,16,635,True
UCS,16,117,True
BFS,17,84,True
DFS,17,2858,True
UCS,17,84,True
BFS,18,99,True
DFS,18,1225,True
UCS,18,99,True
BFS,19,59,True
DFS,19,1321,True
UCS,19,59,True
BFS,20,54,True
DFS,20,508,True
UCS,20,54,True
BFS,21,24,True
DFS,21,234,True
UCS,21,24,True
BFS,22,30,True
DFS,22,282,True
UCS,22,30,True
BFS,23,55,True
DFS,23,1515,True
UCS,23,55,True
BFS,24,22,True
DFS,24,420,True
UCS,24,22,True
BFS,25,63,True
DFS,25,1435,True
UCS,25,63,True
BFS,26,94,True
DFS,26,1472,True
UCS,26,94,True
BFS,27,50,True
DFS,27,518,True
UCS,27,50,True
BFS,28,38,True
DFS,28,566,True
UCS,28,38,True
BFS,29,38,True
DFS,29,652,True
UCS,29,38,True
BFS,30,40,True
DFS,30,502,True
UCS,30,40,True
