Algorithm_name,env_n,states_n,solution_found
Hill Climbing,1,1,False
Simulated Annealing,1,55,True
Genetic,1,0,True
Hill Climbing,2,1,True
Simulated Annealing,2,39,True
Genetic,2,0,True
Hill Climbing,3,3,True
Simulated Annealing,3,15,True
Genetic,3,0,True
Hill Climbing,4,1,False
Simulated Annealing,4,24,True
Genetic,4,0,True
Hill Climbing,5,2,False
Simulated Annealing,5,63,True
Genetic,5,0,True
Hill Climbing,6,2,False
Simulated Annealing,6,90,True
Genetic,6,0,True
Hill Climbing,7,3,True
Simulated Annealing,7,15,True
Genetic,7,0,True
Hill Climbing,8,1,False
Simulated Annealing,8,14,True
Genetic,8,0,True
Hill Climbing,9,2,True
Simulated Annealing,9,17,True
Genetic,9,0,True
Hill Climbing,10,2,False
Simulated Annealing,10,33,True
Genetic,10,0,True
Hill Climbing,11,1,True
Simulated Annealing,11,30,True
Genetic,11,0,True
Hill Climbing,12,2,True
Simulated Annealing,12,94,True
Genetic,12,0,True
Hill Climbing,13,0,False
Simulated Annealing,13,8,True
Genetic,13,0,True
Hill Climbing,14,2,True
Simulated Annealing,14,37,True
Genetic,14,80,True
Hill Climbing,15,1,True
Simulated Annealing,15,5,True
Genetic,15,0,True
Hill Climbing,16,1,False
Simulated Annealing,16,42,True
Genetic,16,0,True
Hill Climbing,17,2,True
Simulated Annealing,17,4,True
Genetic,17,0,True
Hill Climbing,18,3,True
Simulated Annealing,18,137,True
Genetic,18,0,True
Hill Climbing,19,2,False
Simulated Annealing,19,48,True
Genetic,19,0,True
Hill Climbing,20,1,False
Simulated Annealing,20,61,True
Genetic,20,0,True
Hill Climbing,21,2,True
Simulated Annealing,21,11,True
Genetic,21,0,True
Hill Climbing,22,1,True
Simulated Annealing,22,103,True
Genetic,22,0,True
Hill Climbing,23,2,True
Simulated Annealing,23,18,True
Genetic,23,0,True
Hill Climbing,24,1,False
Simulated Annealing,24,97,True
Genetic,24,0,True
Hill Climbing,25,1,False
Simulated Annealing,25,18,True
Genetic,25,0,True
Hill Climbing,26,1,False
Simulated Annealing,26,44,True
Genetic,26,0,True
Hill Climbing,27,1,True
Simulated Annealing,27,86,True
Genetic,27,0,True
Hill Climbing,28,2,True
Simulated Annealing,28,112,True
Genetic,28,0,True
Hill Climbing,29,1,True
Simulated Annealing,29,95,True
Genetic,29,0,True
Hill Climbing,30,1,False
Simulated Annealing,30,36,True
Genetic,30,0,True
